,Commental title,char_count,word_count,sentiment
247,make money much easier make kind thing money also earned easily,109,21,Negative
248,dont walk night,25,5,Negative
254,maybe escape,38,7,Negative
257,decline,7,1,Negative
263,earth ol limit grade dlc,36,8,Negative
264,stroud capital,31,5,Negative
265,life always boring,41,9,Negative
267,fried capital games,30,5,Negative
270,dont talk humanity talk people,49,8,Negative
275,think interesting,42,8,Negative
277,high open jump set,33,8,Negative
278,cave another version,20,3,Negative
279,according progress survival refers day,64,11,Negative
287,spotting first episode guess behindthescenes boss,61,8,Negative
289,want analyze cao shangyou,46,9,Negative
293,money refracts humanity ugly,28,4,Negative
294,cow bit horrible,26,6,Negative
298,capital alienation,18,2,Negative
302,want come already trapped,55,11,Negative
305,although ending ending guessing dont dare,66,12,Negative
306,person beast,30,8,Negative
312,dont dare face east koreans,47,10,Negative
316,define good fake,40,9,Negative
321,else behind body plasma,37,7,Negative
324,word,13,3,Negative
326,character characters,37,6,Negative
331,kind article worthless,29,5,Negative
334,imdb rating higherbee,29,5,Negative
336,happy big boss,14,3,Negative
341,contest survival,34,7,Negative
345,last episode bad,24,5,Negative
357,biggest problem design low logic,71,13,Negative
361,want write short quotation,36,7,Negative
367,good one pit,12,3,Negative
380,gold _ devil,19,5,Negative
382,tv series life,34,9,Negative
385,give,24,5,Negative
386,looking show message blocked results,74,15,Negative
388,thinking survival games playing adults built blinded ice games,94,16,Negative
390,give,24,5,Negative
392,people live actually people like play,50,9,Negative
393,money knife,29,7,Negative
400,selfmoving poor performance,30,4,Negative
403,problem games,32,6,Negative
406,back fast didnt finish guess end,60,13,Negative
408,old bottle new wine delicious,39,7,Negative
411,onset,27,5,Negative
412,big hot,31,7,Negative
426,current thread analyzed direction go,76,15,Negative
432,cherish life stay away,37,7,Negative
433,scriptwriter analyzes pure human core,43,7,Negative
434,world awake,18,4,Negative
435,lightweight blogging,25,4,Negative
438,der,30,7,Negative
447,choose,6,1,Negative
449,dont cant see cant take brain,46,9,Negative
453,man good person man bad person,53,13,Negative
455,chance also participate,68,13,Negative
456,equivalent price,16,2,Negative
466,tree cave,9,2,Negative
472,tucao vomiting comment cant go,41,7,Negative
474,spoiled,20,3,Negative
475,tiger head snake regret,24,4,Negative
487,synopsis,8,1,Negative
491,equality world,14,2,Negative
492,76 points cant say great film,45,9,Negative
494,cause games,27,6,Negative
495,want win try make dont participate,63,12,Negative
497,much logic bug film,30,7,Negative
498,ok expected exciting,32,6,Negative
504,tour work disgusting,28,5,Negative
507,good evil bad,18,4,Negative
508,dont think cant collapse,31,6,Negative
509,games,27,5,Negative
512,choose,45,11,Negative
515,nausea screenwriters sicking kingdom,48,7,Negative
517,selfdiscovery virgin sigh weak,60,11,Negative
519,dont want praise,33,6,Negative
521,super ___ true ___,25,5,Negative
522,mens last one poor weak,35,8,Negative
523,001 acting,10,2,Negative
524,bored,5,1,Negative
527,play games,10,2,Negative
529,dont like man represents,42,9,Negative
532,male owner really rotten,34,6,Negative
534,audience delicious connection vip,48,8,Negative
538,going fight irony think punch hit,73,16,Negative
540,animal world cant mentioned said bit different,89,17,Negative
544,short review cant write write side,51,9,Negative
549,less reasonable,24,4,Negative
552,survival irritating funny,65,14,Negative
553,18,6,2,Negative
556,half adult games killing crazy,34,6,Negative
559,think end dragged,38,8,Negative
560,want see kong shu li zi played games best call ding qing,86,20,Negative
562,thriller passing smuggling tablet group life shipped island play games price failure death people win expected high bonus choose life worse hopeless forced participate life everyone go,312,60,Negative
564,number short comments super come,59,12,Negative
570,dont reveal  ,24,5,Negative
577,think mens people problem,37,7,Negative
580,chase diary 317,31,6,Negative
582,one two three wood people,26,5,Negative
586,structural contradiction,42,6,Negative
587,daxie actuator bad,25,5,Negative
588,volts behindthescenes boss,43,6,Negative
590,real slot point,28,6,Negative
592,didnt write,16,3,Negative
593,terrible human body embarrassing,73,14,Negative
594,bad,7,2,Negative
600,dont break sugar,33,6,Negative
605,looking jiang xiao zhiying,34,6,Negative
609,dont want give time recommended see good sleeping,87,19,Negative
612,finished vomit full brains cant stand,58,11,Negative
614,expectation disappointment,37,4,Negative
616,talk,19,4,Negative
624,man made think liu bang liu bei,45,11,Negative
627,even spoiled sixth episode,45,10,Negative
630,please dont deceived high score,39,7,Negative
631,disappointment,14,1,Negative
633,good,22,5,Negative
641,goodlooking absurd true,32,5,Negative
644,film review,22,4,Negative
648,poor people must hateful,29,5,Negative
650,waste virgin man dog dog transported story,65,13,Negative
654,cherish life stay away marketing,39,6,Negative
655,look,22,5,Negative
657,participate,41,10,Negative
658,poor people fight rich rich,64,14,Negative
661,male master fake savior,26,5,Negative
664,vip guest house,15,3,Negative
670,bone life eternal reincarnation,33,4,Negative
671,chase,5,1,Negative
674,boring,6,1,Negative
675,endroom real world korea,30,5,Negative
676,brushing two days bunch unfained crushed,52,9,Negative
678,net fly pick anything,34,7,Negative
686,bored people set boring plot boring marketing full points,68,13,Negative
687,first eight episodes cow  speechless,51,10,Negative
688,high expected high,18,3,Negative
689,always still reason,28,5,Negative
692,day turned left plane drama cooked,66,13,Negative
695,used last ten minutes,28,6,Negative
696,unfair biggest fairness drama accident,47,7,Negative
698,internal volume,15,2,Negative
701,hawk,4,1,Negative
709,sociological experiment super volume large group site high intensity built,81,13,Negative
711,worthwhile,10,1,Negative
713,001 old man reads dickens tolstott,48,10,Negative
714,embarrassed    ,39,8,Negative
716,beast break around,50,11,Negative
720,fish exploitation system,31,4,Negative
724,stop,24,5,Negative
726,recent fire story caused marginal utility decrementing theory,80,12,Negative
727,film review,24,4,Negative
736,dont think much didnt come position,76,14,Negative
737,following film save korean,42,8,Negative
739,lucky okay,18,4,Negative
746,want say protagonist good talent,52,11,Negative
749,maybe expectation high,32,6,Negative
764,mediocre old bottles new water,57,11,Negative
765,killing,14,3,Negative
766,also participated creation script haha funny reading,92,16,Negative
767,violent bloody gentle,28,5,Negative
770,bare bowl old soup,24,6,Negative
773,die live,25,6,Negative
777,poor,18,4,Negative
783,global phenomenon tv series opening half dead give jacksu,78,14,Negative
784,think really ugly film,48,11,Negative
785,good work god,24,6,Negative
788,stay late,12,3,Negative
789,much symbolism wonder cant introduce,45,7,Negative
791,jump passing middle,61,11,Negative
794,one person knows live kind life character articles 067 jiang xiao,102,19,Negative
796,man cant stand,23,5,Negative
802,dont care lazy delete,49,11,Negative
807,men owner speechless,26,5,Negative
814,perspective journal,44,8,Negative
817,dont know angry,27,6,Negative
819,adjacent mirror,22,4,Negative
822,title,20,5,Negative
824,people set flat pseudounlimited streets flexible stimulation,66,9,Negative
826,beware,6,1,Negative
830,wash white mother,22,4,Negative
832,games need,20,4,Negative
838,ending bad unexpected rotten reading knowing male protagonist idiot,99,16,Negative
839,think think,36,8,Negative
842,man also bad,24,6,Negative
846,come enjoy soaring adrenaline,41,7,Negative
847,see blood pressure index explode,56,10,Negative
848,say points dont like,28,6,Negative
850,meant,11,2,Negative
851,dont embarrassed man really kind old man male,87,18,Negative
856,rotten 78,26,6,Negative
858,dont think man ability go back revenge,65,14,Negative
868,wonder cant even get 8 points,33,7,Negative
869,behind screen looks like vip looks person,59,11,Negative
881,lowdistribution version waste wood male land worth full network,83,14,Negative
883,causal talk,11,2,Negative
886,letter spray,21,5,Negative
888,one two wood people,23,5,Negative
901,first episode 123 wood man small persons opening,55,9,Negative
905,1,1,1,Negative
908,protagonist,18,3,Negative
910,money people,16,3,Negative
913,forget point tucao fact painting dormitory spoiled content,93,17,Negative
916,mens owner bad,22,5,Negative
919,korean drama decoration,30,5,Negative
920,highopening positioning secondclass survival,54,6,Negative
924,thats blow also stupid,47,10,Negative
926,end inexplicable spoiled,26,3,Negative
939,mediocrity guilty,24,4,Negative
943,former part korean film texture second half falling korean draft,80,14,Negative
945,nonhuman internal volume,25,3,Negative
947,want say spoiler,53,10,Negative
950,spoiler,7,1,Negative
951,want watch iq rolling childish home,45,9,Negative
954,dont cover husky still look good,51,10,Negative
956,analyze characteristics mens character,46,6,Negative
957,800 million discussion tu luo tanian cool murdered,58,9,Negative
960,life rich people boring,43,9,Negative
962,good humanity experiment,24,3,Negative
963,need take heart brain,47,11,Negative
965,total,5,1,Negative
967,schematic penalty enough cant promine drama,69,12,Negative
969,ends said want,47,10,Negative
971,director like bureau go maldives drink mojito,63,12,Negative
978,humanity evil kind fruit civilized society,56,10,Negative
979,humanity evil kind fruit civilized society,56,10,Negative
982,story dragged,24,5,Negative
986,let us play called love,33,7,Negative
988,plot bad high name negative,52,12,Negative
990,thats,6,1,Negative
991,looking three points,39,8,Negative
995,good protagonist police much slots exaggerated failure,99,18,Negative
996,quality male land let ultimate boss value,65,13,Negative
1000,story general considered next foreplay,62,11,Negative
1001,jungle rules,16,3,Negative
1002,li tengs logan remaining remaining story,43,6,Negative
1003,northeast pot jumping wall material,43,8,Negative
1005,capital,12,2,Negative
1006,cool many requirements,64,11,Negative
1008,one night tumpet tag cool killing,46,8,Negative
1010,sorry want find reason kill,51,12,Negative
1011,let us raise shovel,23,5,Negative
1015,bug much cant understand,37,7,Negative
1016,equality cant live,23,4,Negative
1017,garbage people even give chance still garbage,66,13,Negative
1019,high schematic corrupted male one,47,9,Negative
1023,dont swear fact also vips,41,8,Negative
1025,last moment wu yi men refers bounar instant feeling,79,16,Negative
1026,netflixs big data drive emerged,48,8,Negative
1028,protagonist biggest failure,38,6,Negative
1030,people killed disgusting,42,7,Negative
1033,1 day,24,6,Negative
1034,poster,9,2,Negative
1035,poor person must something mean,36,6,Negative
1036,open crack ending,22,4,Negative
1037,clues find big boss,41,9,Negative
1038,dont laugh man actually gambler,56,11,Negative
1039,seen wear grandfather okamoto early,53,10,Negative
1043,terrible ghosts people,33,5,Negative
1046,witnessed interchanged names write jiang xiao zhiying,81,13,Negative
1049,fact lao lais savage fish,37,8,Negative
1051,think necessary explain film television works need logic,76,14,Negative
1053,fifth level one dying,40,8,Negative
1056,thats much write post,44,10,Negative
1059,spicy selfname full spoiler,36,5,Negative
1065,drama barely,24,5,Negative
1066,write,23,4,Negative
1067,cool angle give 4 stars,35,8,Negative
1068,cool point whole drama,29,6,Negative
1069,dont numb subject,23,4,Negative
1070,dont numb subject,23,4,Negative
1072,poor imitation,14,2,Negative
1076,terrible ghosts people,33,5,Negative
1083,neither fish fowl,21,4,Negative
1091,finally saw father korea,34,7,Negative
1093,hate korean things screenwriters really,66,11,Negative
1095,good rain,9,2,Negative
1097,li zhengzais homework,22,3,Negative
1099,really ugly,12,2,Negative
1102,cool film feeling bit bad,48,12,Negative
1104,strip enough,25,5,Negative
1105,dont take humanity experiments,51,8,Negative
1106,6 science cant give still poor alice country,78,16,Negative
1110,advantage basically finished play five stars talk shortcomitude,97,16,Negative
1112,humor obaw,13,3,Negative
1115,poster,6,1,Negative
1116,looking forward bigger bigger disappointment,50,6,Negative
1119,works dont cover job,31,6,Negative
