,Review main body,char_count,word_count,sentiment
109,write front always interested type drama drama hot always chasing han always uses games afraid watch variety interesting started decide see drama writing text havent seen film review brushed jiang xiaos actor cool,368,69,Positive
110,finally reading        series card delayed almost story introduction persuade survival games stalk bit old plagiarism duck type drama united states japan even thailand like hero almost similar experiences sets think,410,82,Positive
113,storyline complex death routine many film television works hard difficult take film version texture picture details actors acting delicate saw korean drama year really admire li zhengzai really big handsome guy taste drama thrown actors face different play completely different handsome face performance active character natural first,464,80,Positive
115,end first several women ran came end scene control staff allow gun warned moved second item consent high iqs shangyou discovered vulnerability moving third rules way also intelligent ignores greed humanity staff things directly vote,426,81,Positive
116,south koreas film television works come directly hit peoples hearts realistic style needle widely known drama rough fierce cold coldly big escape story model vivid criticized criticized korean society players eat peoples money empire participate 500 people,379,63,Positive
117,chasing tv drama drama addition work available time invested reading writing listening etc course study habits must practiced life goals continuous life strange good see drama,283,53,Positive
120,recently word appears life bit high wechat chat people said big b station video mentioned rarely look korean drama didnt hold back went see overall look complicated many people boast music said tv series great classical music plots well picture,392,78,Positive
122,hello everyone small white written film review posted viewing record everyone reminded write film review saying truth bit difficult look evaluate still schoolboy say every word said used hu tu tu eight fang road pi talk recent gray often first film feel blowing look forward,449,91,Positive
123,year probably year type almost type film television comics analyze point view type shadow drama fired type content is  1 lets talk foundation drama good quality,369,72,Positive
127,cao shangyou golden phoenion flying doubledoor hole twenty years ago proved first decadentated proved fascinating lost someone smart fair person people born want take head defeating kind victory defeating everyone worth victorious top class,427,78,Positive
128,dont know shoot movie dont pitque see things see drama want show korean film television works direction human nature money seems bottom line human nature front huge money family friendship worthless front life death worth mentioning small best regardless loss,427,84,Positive
129,1 posture 2 police latented least 4 days island various mobile phones records without smartphone support long addition mirror started,189,33,Positive
132,type tv reflects sense insecurity society pessimistic view human nature personal weakness put focus human nature selfishness find case minutes transfer focus humanity beautiful also see situation views ideas human nature decide put attention focus xx violent xx force,388,68,Positive
134,screenshots korean drama scene vip lounge impressed watching thousands thousands thousands last place radish several layers bathing tang po bottom largescale bath many people squeezing open space top floor single room looks special every room,394,71,Positive
136,1__   actually pig 2__ really look seems collection short actually one hour 3__ drink wine _ burning charcoal ideal death method choose stay hotel 4__ voice broadcast really vitality bgm old appears really ironically use memo hurry look upper right corner percentage,372,71,Positive
138,admire performance korean actors even similar topic script role make people resonate hate admire think annoying actor interpret role let people hate bones impressed heart example really felt male speechless touched kindness,398,77,Positive
140,simple rude version jungle law public every billion bonus persons life vip people little chess piece fun suspense right reading first episode one two three wood man innocent hat childhood blood washed half entrant second episode hell original hell liabilities life hope,402,74,Positive
141,second series success year saying truth strong whether moving plot acting hanging drama type grass type grass li bingxian kong liu li zhengzai active school easy learn exam download mobile phone go work days cool lets talk story first think director,451,90,Positive
142,saw didnt dare look got even twice speed didnt look put didnt dare face one time dignified complex exposure human nature legacy shangyou looked boungers chao arrang suspected ali cheating squat plead think ali know trick,402,79,Positive
145,similar american dramas games hunger games showing phenomenon build cognition drive manipulation money power bottom class becomes highend entertainment tool even sacrificing life pastime latter like horses horse chicken cock human society also working way workers sell hits capitalists,409,67,Positive
146,reading heart heavy returning childhood returning original desire everyone live next everyone kill cant help think moori mentioned world one fell possible cause death movie enlarged amazing magnifying glass reality desire use money symbolize social sinister,399,69,Positive
147,reading heart heavy returning childhood returning original desire everyone live next everyone kill cant help think moori mentioned world one fell possible cause death movie enlarged amazing magnifying glass reality desire use money symbolize social sinister,399,69,Positive
150,went online thought net fly also made zombie similar kingdom palace thriller plus hunting topic thought continues hot become phenomenon world cant help really learned first grateful li zhengzai handsome face touching something somewhere,422,78,Positive
154,rich man comfortable boring poor people may pain matter rich people deal life face life die 11111111111111111111111111111111111111111111111111111111111111111111111111111111111,258,36,Positive
155,netflix reads carfish recently global fire expected value expected plot compact rules simple intriguing one day stranger gives card says participate blind success win grand prize youd better throw card away even lost still alive think carefully six crosses including last,425,77,Positive
156,first clearance wood man behalf insisted second level person defeated important fifthoff bombball represents sequence sixthlevel glass bridge representative examination review later stage postgraduate research,299,48,Positive
158,originalauthor mikehalefrom newyorktimes haventwatchsquidgame hereswhatyourenotmissing article spoiler think see korean suspense episode squidgame lucky enough enough caution,272,37,Positive
159,often saw near future finally finished reading yesterday feel human nature really complicated people simple people thorough people good hypocity people cold good evil also see affects interests first die save strange people first 123 wood people everyone thought socalled amoy,458,81,Positive
163,limited grade film variety head bleeding excavation shots spoilers feared dramatic cautious 1 participant wants stop voting designer let everyone see hundreds millions cash fall pig piggy bank finally take key vote old man 001 101 100 votes long participants selfcontained voluntarily,430,78,Positive
164,samsung half lot doubtable places free killing party night strong big escape killing others must play group games gameover people still sea tactics much money difference several people small policeman left evidence facilitated discontinuation fault definitely criminal police specialty copy deaf line finally,468,81,Positive
165,recently games global fire also hold curiosity strict control two episodes one day used week wrote words 1 reading beginning brain immediately bled god big escape hinder continue look storytel good 2 see end man said bothering,371,70,Positive
167,week really hard overtime every day got work ran back rental house take takeaway watch go back overtime adding class back rent look two episodes middle night resonance people people film like story theme rules __ must abstract places abstract rules __,447,89,Positive
169,goodlooking drama two types people modern society one type fishwaking social system representative 1 financial reputation social status system everything kind innocent interest bored also desperate loss selfdissolution system means selfindividual loss another type 456 represented system system tried fight revision upgrade,465,78,Positive
173,entertainment mainly unscrupulous black words rest assured andrschnen blauendonauop314 music ferencfricsay berlinradiosymphonyorchestra bean paste 76 barely high level shortfrequency summary first four episodes showed knee last four episodes took back drama excellent,351,50,Positive
174,view mind hollywood director busy saving world korean director class contradictions smashed old grandfather late wood man relaxed simple tugwar theory practice class exciting thank teacher vip line embarrassed,307,53,Positive
178,hstyle features meaningful pseudoproposition different everyone naturally true like someone else feature difficult copy transcend h style model actually copy big capital look capital reproduced quantify production h flows end 1990s 20 years actually recall,399,70,Positive
179,rhythm first episodes really good attracting ring buckle especially first wood let people realize cruelty good music also indispensable part second sugar cake quite funny __ unfortunately episode little drag end come participate also bit impatched daughter waiting united states world,419,75,Positive
181,disclaimer put year year good reading almost one day cried twice already blown early write strangeness people neglect habits monster although common problem film television circle always true wrote hope everyone watching film television works,415,76,Positive
184,film reveals complex humanity general situation protagonist halfway cannon gray big boss reverse plot older old man come participate competition hopped life first old man running fast anyone little lose people qun careful old hair burn choose teammates,400,72,Positive
188,_ sugar also named _ sugar big pear cake originated song dynasty china tutoring originated chinas spring autumn korean tugofwar original tang dynasty tugofwar originated tang dynasty china clothes originated early years china china school uniform 123 wood people originated republic china paper pack originated republic china playing ball,464,72,Positive
191,finally finished although 9 episodes full drama used sixsegment bloody reveals human nature full fraud selfishness fresh fearless life life death everyone participated innocent money top head dangerous sword first abandonment people volunteer difficult cut desire participate,425,72,Positive
196,67 points level drama play two stars pull observing human nature extreme conditions acting skills awkward certainly cant rotten worthy heat current speculation lower side failures eyes 1 protagonist pale mix old mother gamble perfect male protagonist shift big forcibly cooperating plot logic,444,81,Positive
197,67 points level drama play two stars pull observing human nature extreme conditions acting skills awkward certainly cant rotten worthy heat current speculation lower side failures eyes 1 protagonist pale mix old mother gamble perfect male protagonist shift big forcibly cooperating plot logic,444,81,Positive
198,screenwriter reader see without match even basic blood type detect casually picking organs body take formalin bubble plastic pocket take take still diving really thought organ transplant like wood like wood 2021 say many times organ really take burst fried waist flowers,438,85,Positive
199,universal allovertheworld director interviewed hollywood rules designed make people world resonate 90 bottom discussion world whether parasite oscar netflixs everyone knows class capital issues used express different techniques,386,64,Positive
200,shoot games attacks copy capitalism take proletariat country allowing countrys proletariat splitting anger heart thereby reducing probability occurrence proletarian revolution fact cap capital still playing actresses playing male star bottom capitalist still proletariat united states differentiated proletariat cherry politics,463,70,Positive
201,male second estimation annoying person outside black boss may may person top gamblers pickup mixed smugglers world also middle world highquality highquality investment company executives independent players class wood man except large bosses,387,69,Positive
202,netflix hottest series subject death attracting many hunger games hunger animal world money breaking humanity zero fighting die foreign journals reported episode world separated mainstream compared death theme,375,62,Positive
206,didnt expect everyone passed long man hate man contradiction character front person doesnt care wife also steals mothers money gambling horses go directly white lotus every time died cry happy come come already know dont return second time,454,89,Positive
207,havent written comment long time recently read games really like much said completely line taste suddenly think want talk everyone film review write write _ first drama fire theme actually quite lot difficult see structure beautiful drama previous mixed korean circle korean drama,449,89,Positive
210,tempered glass break small pieces broken appear large female lead also bar notch 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,267,24,Positive
211,following suspected two antitransparent see friends wanted see big escape gaming work powder highlight cult li zhengau european american movies japanese comic animation put tricks popular may allow audience easily understand resonate therefore really cant play tug,420,73,Positive
216,male protagonist really thinking unclear people seeing beginning wife went still felt particularly good still man also go horse ask exwife borrow money father gave waiting reflected exhaustion final ending still confirms consistent confusing way clearly win money,420,76,Positive
220,korean drama recently hot stock price netflix therefore rose 20 claiming drama bring 891 billion valuation number exemplary actress players increased 400000 20 million many people picky childs rules feel plots exciting like big escape plot people keen discuss strategy,408,70,Positive
221,steals chinese culture including limited tugofwar paper bag 123 wood people _ sugar clothing design people say americans confident glass unlike china know united states pull china defining leads crazy alien changjin lake movies selfconfidence  true confident confident black chinas film,390,58,Positive
222,1 humanity highpressure squeezing complex like colorish plate first time give go back second voluntary democratic way voluntarily choose give make individual voluntary choice temptation realistic drive illusion give compared opportunity win money death like gun front brain give desperate situation real life like body,465,84,Positive
223,thought movie result tv series seems quarter first half order enter mode future future direction animal world hungry big escape onefree say two episodes middle explore human nature especially episode playing,381,73,Positive
224,reading games feeling endless say time idle quicker rhythm fast water film discussed drinking beer husband feeling fire first two days 9 years old ask cant see house asked know said watching,406,82,Positive
225,tell last wu yi male actually final boss grass type episode modern kinds works finally seems one theme human nature evil human nature cant afford test seems dont dig evil spirits cant show depth life lifetime body insult drag peoples water first vote exits,407,81,Positive
229,tension brush drama beneficial decompress simple dragged nervous exciting brutal emotions forget realistic pressure human genes love story games games new bottled old wine whether animal world hunger netflix sensory stimulation humanity,370,63,Positive
233,lack really lack every time brush feel iq insulted recently watched analysis kinds pants kind symbol learned class metaphors better person uses precision equipment disassemble explain see abalone sea cucumber cow top salmon,379,71,Positive
236,playing four stars active skills let play plot honest beginning okay plot bead basically guess male feel sense kindness kind opinion kind family zhiying jiang xiao really make people tears one bring brother family south korea need huge money,423,84,Positive
238,fact first look hunger laugh bird time looked cool watching popcorn seeing heroine handsome later saw university cartoon called uneven world still quite strange chinese cartoons fired found chinas startup also blue less version,391,74,Positive
240,never thought would fire october 12 simple plots play seemingly lowtech games clear tidy photography style formed strong contrast plasma splash brought strong visual emotional rush audience,255,42,Positive
241,article started public number korean drama angel welcome contact authorization reprinted longawaited korean drama finally came tips recommended friends watch day noon everyone played lot games child matter country still child heard one two wood people much say let,397,70,Positive
242,article started public number korean drama angel welcome contact authorization reprinted longawaited korean drama finally came tips content terrible involve bloody violence recommended friends watch day noon everyone played lot games children matter country still child heard twothree wood,418,69,Positive
244,talk number recently known thing 1 rmb folded 184 1 us dollar equivalent 1174 1  16207 1 refreshing 1178 billion 100 million buy person korea equivalent rmb 54 million buy one bmw 5 series 456 billion wan yuan equivalent years ti bonus recently sold 30000 tons coal uncle earned 37 billion saudi prince acquisition,412,77,Positive
245,protagonist wu jing take gun cleared whalegame wolf 3111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,231,18,Positive
247,ben humanity water let beautiful illusions expected hope hope breeding also good excited let equal value package statto rationalization make eye high hand less two poles realistic transformations required consumption brain heart mind unable get residual value output,407,72,Positive
248,dont go gently night old age burn roar sun anger anger disappearance although wisdom wisdom knows deeper dont lightning gently entering night good people last wave passed vulnerability fragile good deeds may dance green bay anger,374,67,Positive
249,1 drama exciting horrible story master exciting coherent thinking 9th episode 2 personally feel touching sixth episode two places 1 jiang xiaos new female companion deliberately lost hope reason take initiative give jiang xiao crying 2 old grandfather,405,71,Positive
250,set_  _    final _ get old soil _ protagonist _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ special _ protagonist ming,206,73,Positive
253,recently hot watching found work big escape still hot kinds extension film television dramas games overwasy drama still achieved following points 1 creativity use simple easytounderstand children play games bloody killings form great contrast let keep thinking knowing,418,71,Positive
254,perhaps escape years ago koreans use parasite tell world rich people year koreans bring unlimited enthusiasm sincerity tell world become rich also escape background man storyline complicated one understand difficult appear around man,393,68,Positive
256,first order 6 games first one two wood people problem purpose beginning die position buckle cake last one ok glass bridge passed people basically collapsed according general human logic later basically hyena gave anal anyone slaughtered completely lost selfconsciousness second sixth level,430,75,Positive
258,spent valuable time life saw much money spent end thats thats thats qualified commercial escape look cant get content content rush high level look story next sakura national play 10 years really content idea dont change medicine hunter plot,385,77,Positive
259,reading games first impression show short delicate fast life intimate compared 2 hours movies drama quite simple plot simple simple owner playing also played rules simple winning bureau next finally winners get high bonuses drama simple,433,81,Positive
260,text mange recently popular korean drama plot probably group people unable breathe real life get chance enter magical place said play get big bonus easy get rid previous debts also lot lot people make people feel rich,377,77,Positive
262,always call whale remember fish name estimated whale better psychology male gambler indispensable element similarly 454 people also psychology social factors people way admit defeat respective life big boss play perspective use money use humanity,449,86,Positive
263,netfilx crazy recently feeling netflix expanded today expect korean drama days ratings surpassed netflixs taiwan pillar card house unfortunately lower muners gg wang crown next season written royal family worry even top united states,390,70,Positive
265,whether poor still common thing life fun han mai said death korean man since net flight world broadcast world look drama october net flight also strong propaganda drama online often see morganic mechanical giant,371,74,Positive
268,e1 one two three wood people open rules protagonist background introduction character paving smooth transition actual combat gentle classic waltz dance matching gradeshage screen tricks used unable see songs recent love flymetothemoon e2 hell think 1 continue first play attitude playing games,397,67,Positive
269,seeing comments decision male master mainly treat mother daughter three points biggest controversy 1 throw mothers mother return come back mother dead extremely filial 2 accept daughter stepfather mothers lifesaving money hit people inexpected 3 still mother qualifications exclusive derive people hypocritical say,477,81,Positive
272,main storyline like group liabilities invited participate people passed levels win huge bonuses 456 billion amount pay attention debts turning master enough living food food gamble symbolic world sharp profound drama big escape theme hunger mi,415,75,Positive
275,within slight slight amount spinning half time time finished commutation lunch break really made shock heart jumping able cover screen time time story actually classic story survival former consequences reversal unity departure trust loss elements high completion degree screenplay script,439,78,Positive
279,full violations completely obscured stimulation human test simple seems prominent human desires one survival really fresh topic especially alice country end last year first quarter drama japanese drama 80 points douban fact fact,390,71,Positive
280,group people walked without road urged money received mysterious invitation inviting join order win bonus 456 billion 456 participants background closed secret place every round games traditional games koreans play one two wood people consequences failure customs death final winner,434,79,Positive
283,want write relationships province little bit relationship talk post know first started fire know many people recommend didnt see reason simple aimed eye make brain whole drama similar setting certain ending please look forward second season,407,77,Positive
286,1 racing lottery ticket also kind gambling company definitely minimum odds manipulate rider control achievements gao li lenders bit like palace drama 2 want money want gamblers mentality makes liabilities also makes use hit money overall fate human beings necessary sustainable reproduce uncontrollable,409,70,Positive
287,really smart first episode guess behindthescenes boss 001  first feel old person normal 001 explanation first know participate first sessions participate competition stay subsequent clues exacerbated judgment 1 wood people someone died,409,74,Positive
288,li zhengzais acting subverted stayed cognition drama stays new world drama good human ugly dark surface weak meat world must make choices end price rushes may male one want participate ugly director planners still based human shoot,395,76,Positive
291,problem drama still quite lot one one 1 rhythm slow fact want see play games come go back need explain much middle roles even exit games days necessary add paragraph need describe variety spaces obviously simple way let players realize go,466,100,Positive
295,really like silence handsome police brother first quarter lot outsiders nothing however key role exposed secret promotion development plot hit person charge shoulders gun away sea death first quarter summary speculation story two brothers brother also policeman,467,89,Positive
296,finished last episode thought finished checked 9 episodes _____ _ feel finished police finally dead man returned next time content still good link shows human nature survival instinct greed compared man man said kind dont know male reality,387,74,Positive
297,busy sneaked tv series obvious important source organization also funds founder organization capital big combined capitalists provide funding entire capital inch provide resources rich resources bloody games gaining annual source inflow funds seems key 80 establishment organization,439,75,Positive
299,dont understand everyone participates may never need understand dont understand people dead continue never need understand dont know money didnt board united states watch daughter flight hope never understand ask know know rules learned original chinese korean children,456,84,Positive
300,almost one breath lets say words dramatic cautious think give 3__ half 4__ plot compact really reminds hungry games el bar like saw part drama director interview seems script brewed around 2008 say necessarily imitated big escape theme indeed fire,388,75,Positive
302,erosion behavior peoples desires powerup people lended korea quite ironic korean drama love love endless killing humanity greed distortion saw beginning first idea __the brain must dark people either highpower person people fuyi rich man,372,69,Positive
303,pure film review didnt complete collection drama 50 minutes explanation drama discussed perspective human nature first two projections look drama bring two roles 1 golden mask first begins weird wood man turns around kills first person heart secret,402,72,Positive
304,throw slot point 7 points strong watching purpose big boss fun taking fight bottom capitalists audience care friend right feel east asian really rolled reading play evue kinds external elimination hiding inbuggling people,417,78,Positive
306,settings development really cause great reflection protagonist separated able restore mood reply real society thing whole behind scenes recruiting group people struggling underlying society opening seemingly fair sign manager emphasizes fairness fact circular triangular square manager kind potential,453,71,Positive
307,1 use six afternoon time brush 9 episodes 2 general nothing special innovation kind big escape murderous hollywood lot 3 still good look street suspense stimulating violence blood everything expression character characters basically online 4 level good stamped sugar shape lack interaction boring example,435,74,Positive
310,episode creates two worlds one world real life world games island different virtual reality science fiction two worlds play actually real world reason call two worlds special world first small island isolated world people play games dont know island play,457,89,Positive
311,new way jiake yu hua traveling seawater deep blue paint beauty belief desire belief chinese outside time netflixs korean episode games form black games showing asian special volume humanity good evil debt etc placed theme competition extreme escape settings,406,71,Positive
312,first drama think problem give 9 points absolute enough dont say radio electricity bloody looking china lot drama dont read however chaos answer prejudice 1 police line 2 seasons preshot police officers nonpopulation falling sea full volts 2 male owner labeled laminated accounts cheap,447,83,Positive
313,say drama seen conclusion see known recent years matter many main chasing blowing good see film quality matched essential ex essence full drama episode playing ball games abuse tears darkness humanity also shows comprehensive drama overall lack characteristics highlights even flat,450,84,Positive
314,say recent drama must net open small red book qq spoiled twisted 214 million know almost falcon winter soldiers episode directly opened way network fly history welcome drama set first position 110 million streaming media,400,75,Positive
315,1 capitalism people money standing top floor set rules 2 shangyou person find developed rules smart people living rules pass levels sorrow live rules 3 people appearance ordinary people teaches kind social rules lived ordinary life worked people,408,76,Positive
316,recent fire network flying korean drama personal opinion class violent bloody degree full scale _ _ rules mention indicate essential survival two lines three types participants managers watch players __ group people fallen financial dilemmas face huge bonuses participating six childrens games __1123 wood people 2_ sugar disapper 3 tutor river 4 posa 5 glass bridge 6,459,76,Positive
317,pseudo film review purpose pick powder public cautious  story  people creatures tell stories liu cixin talked story called three body story protagonist yun tianming treated honesty later yun tianming passed story human beings threebody interlocks immersed beauty story,404,71,Positive
319,national day home listening friends say fire look house first grade nephew also came see one two wood people worried bloody scene afraid children suitable seems following episode atmosphere chart fried chicken cola watching looking looking unique perspective child one two wood,470,88,Positive
320,listening director said inspired 2008 economic crisis 2016 trump win feel drama stimulate social preferences shoot idea ten years ago simple rules brutal wins negative punishment lost death win live 456 people live 456 billion wares decades traditional competitions world one stop every country world generation,453,82,Positive
322,points drama mainly design many people around quickly entered plots scenes focusing plot mouth cao shuyou male neighbor shows designed accordance male ideas spliced strength competition active adventure logic thinking resource social epitome also metaphor,410,69,Positive
323,one refuse invitation kong liu li zhengzaizai liu li xianxian result lineup even day dont female cool cold  zheng haoyu role 17 million becoming lv spokesperson 11th holiday brush major social software platform everyone calm front section,385,71,Positive
324,always fixed stereot impression korean drama steerypes long legs beautiful women men womens emotional entanglement love flow form surface skin also awkward style difficult say difficult board elegant play recommended even domains,345,62,Positive
327,1 story compact humanity wonderful story every step unexpected unexpected line characters feels least film many tv series recent years 26 design pediatrics children play one two wood people buckle cake tugofwar marble wooden bridge pediatrics becomes horrible kill,434,78,Positive
332,hot followed content seems similar big escape hunger fixed scene people others finally one person surprises order win evil human nature rapidly enlarged strength deception betrayal danger people,310,52,Positive
