,Commental title,char_count,word_count,sentiment
153,dont close hypocrisy bring unfortunately,51,7,Positive
154,,10,2,Positive
157,violent blood version gambling hypothesis secret room escape,69,10,Positive
159,complex humanity,30,4,Positive
162,korean transcultural communication representative,63,6,Positive
163,panic road,62,13,Positive
164,matter still good,35,8,Positive
166,reposting us elite,53,11,Positive
167,sound people people,37,8,Positive
170,elite phoenix male intelligent old man,42,7,Positive
171,hey thought melody result fried rice east,79,17,Positive
172,water drama 90 countries,27,5,Positive
175,218 male one heart,36,9,Positive
176,pollyspeaking male,19,2,Positive
180,see,21,5,Positive
182,note,4,1,Positive
186,,12,2,Positive
188,korean stealing chinese culture,32,4,Positive
189,want understand sociology dont know deep directly,69,13,Positive
190,old man necessarily winner first,60,12,Positive
191,human nature,12,2,Positive
194,talking humanity,34,6,Positive
195,life huge fightground,26,5,Positive
198,much necessary say settled kidney,73,15,Positive
199,parasites taken representing universal despair,68,8,Positive
200,power capital country able describe sky,74,15,Positive
201,said opportunity give last fair competition still hidden class gender discrimination,132,24,Positive
202,death,22,4,Positive
203,see cruel truth games six games,49,10,Positive
205,,19,3,Positive
206,last episode master love plot dizzy,54,11,Positive
208,fire,15,4,Positive
209,gas,14,4,Positive
210,glass bridge knowledge,37,6,Positive
211,propaganda cult polios,27,4,Positive
212,cantonese,9,1,Positive
213,said remember,23,5,Positive
214,care film serious ingredient virgin green tea cause extreme discomfort,99,17,Positive
218,life,20,5,Positive
219,knowing feel drama,32,6,Positive
221,chinese culture stolen united states confident,80,13,Positive
223,profound general cool film,40,7,Positive
227,human concentration crazy,31,4,Positive
228,human concentration crazy,31,4,Positive
229,life,13,3,Positive
230,truth true really regret saw last,57,13,Positive
231,numbers symbols,19,3,Positive
234,story,9,2,Positive
235,good story made lack entertainment films lack deep excavation summarizing hua mulan south korean debt,134,23,Positive
237,hard good,17,4,Positive
238,life,8,2,Positive
240,addiction 8part type rgrade film exciting,82,14,Positive
241,premiere bombing hot search halfnight popphen,47,6,Positive
242,premiere bombing hot search halfnight popphen,47,6,Positive
243,japanese style,14,2,Positive
244,456 billion,17,3,Positive
245,different protagonists different endings,41,4,Positive
246,korean version big escape,32,6,Positive
249,explore human real version jedi survival,47,8,Positive
250,,1,1,Positive
251,humanity cruel carnival nonblack white rich people,68,12,Positive
252,last episode,25,5,Positive
253,human brilliance darkness,29,4,Positive
255,commercial floating world painting,34,4,Positive
256,several places replaced affect development settings plots,88,15,Positive
258,popularity content commercial tablets,44,6,Positive
259,childrens adult rules,27,4,Positive
260,korean drama double strength,63,11,Positive
261,exploring perspective male master baby irony north america,76,13,Positive
262,lot spoilers,34,7,Positive
266,humanity yong _ _ cant afford scrutinize,47,9,Positive
268,diversity short comment,23,3,Positive
269,understand logic speculators understand choices men ill,90,16,Positive
271,whole staff end funeral people set net red drama fire,105,21,Positive
272,symbolic world cool drama,27,5,Positive
273,korean drama network flight high visibility,47,8,Positive
274,aircraft,8,1,Positive
276,soft,17,3,Positive
280,,10,2,Positive
281,top eight episodes feng shen entlership garbage,61,12,Positive
282,living end person,33,8,Positive
283,metamorphosis little reflection,43,6,Positive
284,unfair 001 metaphor,31,5,Positive
285,absolute good absolute evil,52,10,Positive
286,overall fate human beings necessary sustainable unlimited brevity,99,18,Positive
288,sense view,20,5,Positive
290,beginning person character good,53,10,Positive
291,evaltered escape,21,3,Positive
292,high high vip visits also winner life poverty richness standard measuring happiness,123,22,Positive
295,story police brother leader brother,59,11,Positive
296,,10,2,Positive
297,therefore important thing establish organization fund,79,13,Positive
299,,10,2,Positive
300,brutal humanity,15,2,Positive
301,realistic annotation,20,2,Positive
303,selfanalysis,28,5,Positive
304,untitled,8,1,Positive
307,20211016,19,3,Positive
308,come secret room escape version,53,11,Positive
309,reading,28,5,Positive
310,two worlds,10,2,Positive
311,rolling life,30,7,Positive
313,known type film still first nature japan,68,14,Positive
314,456 billion 455 life,25,5,Positive
315,reflections ordinary people,30,4,Positive
317,mask visitor rules huge games,35,6,Positive
318,renamed leek,31,6,Positive
319,perspective child look,55,10,Positive
320,form better people rules set inner rolls proletaries infoured die live someone watching lively shore,153,27,Positive
322,four women whether reality never compromise containing drama,118,22,Positive
323,whole staff end funeral people set net red drama fire,105,21,Positive
325,yun hungry people live,30,5,Positive
327,,10,2,Positive
328,believe humanity,27,5,Positive
329,ghost purchase,21,3,Positive
330,world,16,3,Positive
332,little bit good humanity effect humanity analysis,73,13,Positive
333,make chinese version,47,9,Positive
335,space aesthetics,27,4,Positive
337,,12,2,Positive
338,successful,10,1,Positive
339,analysis meaning shooting various image symbols creation intention,105,17,Positive
340,look dares kill childs childhood,70,12,Positive
342,drama understood,30,6,Positive
343,,10,2,Positive
344,cruel,11,2,Positive
346,,10,2,Positive
347,drama good evil,34,8,Positive
348,burst global feel sorry,46,8,Positive
349,,10,2,Positive
350,father brain man mentally hidden willing call unlimited basement,92,18,Positive
351,humanity afford test worth seeing,56,10,Positive
352,talk symbolic meaning,47,8,Positive
353,change,40,8,Positive
354,looking forward second season,36,6,Positive
355,human nature,12,2,Positive
356,dramatic review,21,4,Positive
358,frame false plots,24,5,Positive
359,digital angle analysis 456 meaning,34,5,Positive
360,three episodes,14,2,Positive
362,music director zheng dynasty interview translation,63,8,Positive
363,good hunting film,22,4,Positive
364,previous film review gone want make short,56,12,Positive
365,master expressions go vip mat,62,12,Positive
366,xi ba black black inexhaustible,34,5,Positive
368,never seen,43,9,Positive
369,,22,4,Positive
370,humanity evil good,28,6,Positive
371,instrument bloody era,25,4,Positive
372,analysis group consciousness fire,52,8,Positive
373,survival class competition,41,6,Positive
374,win lose heart,29,6,Positive
375,greed root evil,29,7,Positive
376,seeing last episode understand,52,9,Positive
377,capital humanity games,42,7,Positive
378,individual feel,15,2,Positive
379,phenomenonlevel explosion models meal meal full entertainment allinlaw online plot lack good,134,21,Positive
381,seen eight half hours,35,8,Positive
383,going life death blood actually childrens drama,64,11,Positive
384,hunger one side temptation one side death,54,10,Positive
387,yig marketshaped internet cjb,31,4,Positive
389,rich life fun,32,7,Positive
391,want say something male,35,8,Positive
394,big escape successfully attracts audience,52,8,Positive
395,pingping also novel,22,4,Positive
396,modern societys survival,30,4,Positive
397,human test competition seen last surprise,67,10,Positive
398,understand,17,3,Positive
399,people deliberated,28,4,Positive
401,untilted,8,1,Positive
402, ,8,3,Positive
404,want ask handsome guy police change kidneys,60,12,Positive
405,show true people show one worlds best plays year,74,15,Positive
407,feeling,12,2,Positive
409,sense view,15,4,Positive
410,doubts,29,6,Positive
413,cao shangyous ending doubt solve,42,6,Positive
414,cruel reality refraction poor seems random fate already destined,112,20,Positive
415,stimulate,9,1,Positive
416,thing threatens emperor poor indifferent money despair,98,18,Positive
417,situation northern northern good,46,8,Positive
418,borne,5,1,Positive
419,story,17,4,Positive
420,playing little time fighting life death,50,9,Positive
421,ant,3,1,Positive
422,world unfair fair,44,10,Positive
423,general,7,1,Positive
424,thing threatens emperor poor indifferent money despair,98,18,Positive
425,wants win ending european win,61,13,Positive
427,although bloody look nervous,41,7,Positive
428,watching experience,24,3,Positive
429,6 games 6 disadvantages,25,4,Positive
430,copping red head,25,5,Positive
431,talk details ignore association korean history,75,12,Positive
436,setting actually general based situation cant photographed china better contrast harm,144,26,Positive
437,real upper layer also play,47,9,Positive
439,film actually gamblers educational film,49,8,Positive
440,good look best,23,6,Positive
441,childlike interest  bloody life life,42,7,Positive
442,notes,14,3,Positive
443,old man really difficult,35,7,Positive
444,watch,22,6,Positive
445,han drama set,13,3,Positive
446,ban gambling propaganda film whether human nature evil,65,11,Positive
448,,10,2,Positive
450,jumped many paragraphs finally read,54,10,Positive
451,koreans cant buy hot search,33,6,Positive
452,drama may ignorant realistic realistic proportion must cruel,89,15,Positive
454,world hell,34,7,Positive
457,thought know truth,34,7,Positive
458,essence life lucky birth,54,11,Positive
459,following bridge without life still probability,56,8,Positive
460,south koreas national household liability ratio news pen,69,11,Positive
461,crazy blowing sky thats,40,7,Positive
462,longlasting long long interest supreme,61,10,Positive
463,longlasting long long interest supreme,61,10,Positive
464,ask highperson broadcast theme,52,9,Positive
465,cultural anxiety reflected domestic firefighting fire talking fire,97,14,Positive
467,salted fish turning,36,6,Positive
468,male two real people male lord,31,6,Positive
469,poor world parents,18,3,Positive
470,gods role views,26,5,Positive
471,deduction give forced human beauty,39,6,Positive
473,rare living class korean drama okay,38,7,Positive
476,20213 big escape become popular plot,63,11,Positive
477,clearly better,25,5,Positive
478,kind person man man,42,11,Positive
479,big escape really different,58,12,Positive
480,front attract behind,38,8,Positive
481,contrast alice country,48,8,Positive
482,fool best wittor,23,5,Positive
483,web flying drama drama,22,4,Positive
484,,10,2,Positive
485,success film explained avenue jane,59,11,Positive
486,,10,2,Positive
488,,12,2,Positive
489,,10,2,Positive
490,evil spirits world evil,42,9,Positive
493,games successful,42,8,Positive
496,idealized antiutin,19,2,Positive
499,also believe light,29,6,Positive
500,looking forward second season,36,6,Positive
501,actually worthy playing,32,6,Positive
502,little feeling,16,3,Positive
503,idealist dual loss utilitarian,37,6,Positive
505,setting suture blown powerful,53,8,Positive
506,money temptation,17,2,Positive
510,higher iq cold blood talk philosophy survival several people,99,18,Positive
511,6,14,3,Positive
513,children,18,3,Positive
514,gorgeous simple choose road,46,9,Positive
516,even world hell,25,6,Positive
518,like childhood good,27,5,Positive
520,large escape trust old talk,55,12,Positive
525,east asian man best audiovisual presentation protagonist playing hands killing people,120,19,Positive
526,presence difficult,50,9,Positive
528,freedom,13,2,Positive
530,,10,2,Positive
531,several games social metaphors,34,5,Positive
533,humanity life severe spoiler,32,4,Positive
535,,4,1,Positive
536,ever life severe spoiler,42,7,Positive
537,worlds first korean drama seen yet,57,11,Positive
539,male owner,25,6,Positive
541,see video internet 2 interesting everyone look,88,16,Positive
542,korean dramas common disease high open want discuss humanity results hurry,90,15,Positive
543,end thoughtful male owner contradiction shadow play truth sometimes shocked,137,25,Positive
545,longlost korean drama drama exploded,46,7,Positive
546,debt,9,2,Positive
547,platoon banquet main course unfinished,66,12,Positive
548,cao dog heart,29,7,Positive
550,cao heart,25,6,Positive
551,human solid evil always hope,38,7,Positive
554,,10,2,Positive
555,simple complex humanity,46,7,Positive
557,significance,12,1,Positive
558,employees online drama shoe,41,7,Positive
561,human weakness,14,2,Positive
563,reflections male protagonist,43,6,Positive
565,impressed place fact sense birman,61,12,Positive
566,feel amazing imagination,37,7,Positive
567,rules,23,4,Positive
568,,5,1,Positive
569,probably 85 points,18,3,Positive
571,miscellaneous,13,1,Positive
572,guess ending still surprised,38,6,Positive
573,hypocritical male,17,2,Positive
574,sadden aerodynamic jigs take good luxi method effect,69,13,Positive
575,excessive factors big escape movie,47,10,Positive
576,strusted night nineteen banned drama killing,57,9,Positive
578,let ghost returning around world,42,8,Positive
579,old man really deep,24,6,Positive
581,humanity test,20,4,Positive
583,last two episodes,21,4,Positive
584,life like __ special day everyday,48,10,Positive
585,human nature,12,2,Positive
589,first episode,13,2,Positive
591,,10,2,Positive
595,stroller highspeed,25,3,Positive
596,although drama influenced marketing true,71,14,Positive
597,bet old man would choose,52,11,Positive
598,hypocritical,12,1,Positive
599,humanity test ultimate inner,38,6,Positive
601,,10,2,Positive
602,still cool breath,35,8,Positive
603,humanity,13,2,Positive
604,spicy chicken 77 points comment,46,8,Positive
606,next line ha han,26,7,Positive
607,sense view,15,4,Positive
608,life like losing sleepy,79,17,Positive
610,wo without playing,24,5,Positive
611,spent day reading,27,6,Positive
613,discussion human nature,26,4,Positive
615,life worried,25,5,Positive
617,name true wearing warm big man big escape,61,14,Positive
618,human,23,5,Positive
619,,10,2,Positive
620,fact life high low expensive,63,14,Positive
621,prefer reasons men,30,6,Positive
622,stealing country buy hot search disgusting,53,9,Positive
623,analysis ending want send death 456 billion,80,15,Positive
625,ri alis humanity kind dead,67,13,Positive
626,similar end united states,39,8,Positive
628,stimulant,32,6,Positive
629,best thing look year,35,8,Positive
632,many people praise male two want ask 2 questions,61,13,Positive
634,korean story without internet thinking,38,5,Positive
635,also believe people even,73,13,Positive
636,last disappointed,33,6,Positive
637,_hand_,6,1,Positive
638,excellent 7 points,18,3,Positive
639,koreans imagined general,39,7,Positive
640,brief evaluation,27,4,Positive
642,good look perfect enough,33,6,Positive
643,,33,9,Positive
645,blooming cruelty society,34,6,Positive
646,primary school diary makes chinese version,60,10,Positive
647,pure spit,9,2,Positive
649,truth private good,23,4,Positive
651,say players go participate purely voluntary,80,15,Positive
652,worth fivestar,28,5,Positive
653,worth fivestar,28,5,Positive
656,mustability method,38,6,Positive
659,feed stray cat good person,41,10,Positive
660,money life choice,32,6,Positive
662,analysis main character,44,8,Positive
663,adult child,11,2,Positive
665,upper person next person,45,9,Positive
666,personal feelings diversity scores,35,4,Positive
667,use kindness,26,6,Positive
668,humanity,19,4,Positive
669,smecta,6,1,Positive
672,whole staff everyone killed,51,9,Positive
673,human nature,37,8,Positive
677, littleouououou lull little painting detail,56,8,Positive
679,take notes,15,3,Positive
680,use everything exchange,23,3,Positive
681,human nature,12,2,Positive
682,suitable good drama meal dramas need deep,71,15,Positive
683,killing saints,41,9,Positive
684,subject souls time,67,14,Positive
685,tucao china highliability,26,3,Positive
690,human nature,12,2,Positive
691,,10,2,Positive
693,sixth episode fabric black pearl full drama,78,15,Positive
694,fire circle certain necessity,70,14,Positive
697,short comment,24,4,Positive
699,want man,23,6,Positive
700,everyone,29,6,Positive
702,humanity good,27,5,Positive
703,humanity really test,23,4,Positive
704,discussion humanity undesirable,64,10,Positive
705,mark seen lot words write drama lazy delete words,94,21,Positive
706,realistic world loser fair,35,6,Positive
707,,10,2,Positive
708,although gamble good person,38,8,Positive
710,seoul university super qualified male two,42,6,Positive
712,view,17,3,Positive
715,conclude three,14,2,Positive
717,shocked countrys escape work francisco,58,10,Positive
718,,29,6,Positive
719,male think male master ordinary person waiting,92,19,Positive
721,humanity people,19,3,Positive
722,narrow little views,42,8,Positive
723,order achieve saints screenwriter shaped group villains,75,13,Positive
725,human,22,4,Positive
728,short comment,24,4,Positive
729,plays explore human nature slightly tender story framework,66,11,Positive
730,sk broadband preparing file lawsuit network increase network maintenance costs caused watching games,148,24,Positive
731,,10,2,Positive
732,loss,19,4,Positive
733,although dark side dont discard little good personal point,75,13,Positive
734,chasing points want say,40,9,Positive
735,look want see reading,68,15,Positive
738,humanity evil good,28,6,Positive
740,freedom limit definitely lead exploitation weak people,82,14,Positive
741,shoot chinese version recommend several games,60,10,Positive
742,regarding whether police brother feelings police good idea,89,15,Positive
743,one says biggest bug,31,7,Positive
744,understanding mens owners,32,5,Positive
745,essay personal interpretation,31,4,Positive
747,wonderful desperate human test society really like,75,12,Positive
748,lets leave together,27,4,Positive
750,thoughtful thinking fine thinking,44,7,Positive
751,man really ex,28,7,Positive
752,view,15,3,Positive
753,  9 episodes go see afraid removed,79,18,Positive
754,life dream,20,5,Positive
755,combined zz background see interest,52,9,Positive
756,humanity really complicated,34,5,Positive
757,always want say something,31,6,Positive
758,drama,5,1,Positive
759,drama,5,1,Positive
760,selfcomment awkward surprise,31,4,Positive
761,nothing class human nature,33,6,Positive
762,good fantasy,14,3,Positive
763,drama covered although bad worth seeing,71,15,Positive
768,final winner,22,4,Positive
769,human light glory bright upper soles,50,10,Positive
771,personal opinion,16,2,Positive
772,take 7 point also full full,51,12,Positive
774,good people best,25,5,Positive
775,brief evaluation,16,2,Positive
776,,2,1,Positive
778,changlong recommended,21,2,Positive
779,thank playing 240 zhiying,61,11,Positive
780,surprise killing,23,4,Positive
781,snow snow saved police car believe people design rescue system keep bottom police car coming,159,33,Positive
782,show deletion version,32,6,Positive
786,mens strange people,20,3,Positive
787,symbolism life social epitomes,53,9,Positive
790,small smart discipline big wisdom,51,11,Positive
792,,10,2,Positive
793,human nature evil,33,6,Positive
795,look top eight episodes ok,46,10,Positive
797,going pick candy like child live,43,10,Positive
798,god masterpiece,24,5,Positive
799,world difference price,55,11,Positive
800,mens victory one tragic endings,42,8,Positive
801,2021 korean drama,28,5,Positive
803,many people paying attention,37,6,Positive
804,annual spirit split,19,3,Positive
805,adult stimulus,19,3,Positive
806,definitely male master ever seen,52,10,Positive
808,virgin white lotus man,22,4,Positive
809,surprisingly,12,1,Positive
810,human hell,13,3,Positive
811,beginning human sexual vacher,48,8,Positive
812,enjoyable profound,29,5,Positive
813,anyone come beijing fish,39,7,Positive
815,mark,4,1,Positive
816,human weakness male owner human defects,70,14,Positive
818,seeing girl smiling unemployed,60,12,Positive
820,life death field class humanity desire,65,13,Positive
821,6 points,17,4,Positive
823,lifedead field class humanity desire,58,10,Positive
825,,1,1,Positive
827,tailored ending,17,3,Positive
828,korean drama korean drama,28,5,Positive
829,south korea realistic,38,6,Positive
831,xiu feel,8,2,Positive
833,survival challenges bottom line humanity,52,8,Positive
834,intelligence scene dont find rule vulnerability dont complain simple,115,20,Positive
835,lifedead field class humanity desire,58,10,Positive
836, ,7,2,Positive
837,life diode,19,5,Positive
840,net make money net fire,66,15,Positive
841,test humanity death,22,4,Positive
843,childlike evil,18,3,Positive
844,childlike evil,18,3,Positive
845,childlike evil,18,3,Positive
849,male two people set real men,38,8,Positive
852,see sixth episode,32,6,Positive
853,,1,1,Positive
854,childhood infinite falsehood,48,7,Positive
855,died 245 people 81 points 30000 people wanted see human,93,18,Positive
857,ambitions far behind love,43,8,Positive
859,view,15,3,Positive
860,little bit,12,3,Positive
861,evil source,35,8,Positive
862,enough enough drama,31,5,Positive
863,first eight episodes last episode quarter,51,8,Positive
864,humanity,20,4,Positive
865,,10,2,Positive
866,live dream,17,5,Positive
867,attached personal understanding large number spoilers tughow,87,13,Positive
870,fire know,29,7,Positive
871,awards,19,3,Positive
872,awards,19,3,Positive
873,successful korean drama history volleyball team,78,14,Positive
874,analyze shangyous ending plot jesuss relationship 456,73,12,Positive
875,viewing sense view,25,5,Positive
876,good looking thrilling,23,3,Positive
877,,10,2,Positive
878, silly x white lotus fw men,29,7,Positive
879,brushing one night,42,8,Positive
880,personal experience,19,2,Positive
882,gift fate marked price,43,9,Positive
884,calculating number number people,36,5,Positive
885,,10,2,Positive
887,nimas many vip masks obvious china also du fu poetry zhongshan,96,19,Positive
889,symbol world,29,5,Positive
890,living,24,6,Positive
891,missophamine,12,1,Positive
892,feeling male mother good,36,7,Positive
893,recent years like big escape,37,8,Positive
894,dramas purely disgusting people,43,7,Positive
895,extremely selfcontainedism realistic life,46,5,Positive
896,dark reverse ironic survival,52,9,Positive
897,easy attended seminar,24,4,Positive
898,recommended spoiler clues behind scenes boss,61,9,Positive
899,,10,2,Positive
900,little record,15,3,Positive
902,,5,1,Positive
903,starting end beginning,49,8,Positive
904,share love,14,3,Positive
906,,10,2,Positive
907,,17,3,Positive
909,feelings,13,2,Positive
911,,22,5,Positive
912,spit,8,2,Positive
914,let go understand,55,11,Positive
915,visual emotional human function worth,42,6,Positive
917,actually feels good unfounded,44,8,Positive
918,picture captain first echo absolutely worth minute,74,14,Positive
921,spit,9,2,Positive
922,underlying circle turns top circle,59,10,Positive
923,human nature,15,3,Positive
925,darkness human nature add hypocritical factors,68,11,Positive
927,,10,2,Positive
928,life like play social book unfair,42,9,Positive
929,fire internet hasnt seen yet,51,10,Positive
930,,10,2,Positive
931,,10,2,Positive
932,wonderful unique imitation,26,3,Positive
933,analysis binary opposition,45,7,Positive
934,last episode korean drama first time,55,11,Positive
935,life like play like,43,10,Positive
936,good fade,16,4,Positive
937,really,32,7,Positive
938,extreme conditions go deep humanity,42,7,Positive
940,,10,2,Positive
941,money 39,9,2,Positive
942,mature plaque,13,2,Positive
944,bug,3,1,Positive
946,,10,2,Positive
948,several questions,17,2,Positive
949,make fan male,18,5,Positive
952,awards,13,2,Positive
953,,14,3,Positive
955,reading end,21,4,Positive
958,good thing bug strange,42,9,Positive
959,awards real foundation world,37,7,Positive
961,,9,2,Positive
964,everything fun,18,3,Positive
966,hope harder fall,38,8,Positive
968,medium electric saw,24,4,Positive
970,treats everyone livestock,33,6,Positive
972,relatively relatively fresh genius,59,9,Positive
973,continues,14,2,Positive
974,go high,16,4,Positive
975,excessive interpretation didnt pay attention,59,9,Positive
976,rules,21,4,Positive
977,childhood,9,1,Positive
980,chengxun doubledoor hole white lotus abused,74,14,Positive
981,refreshing,10,1,Positive
983,,22,5,Positive
984,childrens real sinful killing,36,5,Positive
985,69 beautiful number,26,6,Positive
987,,10,2,Positive
989,cloth,10,2,Positive
992,people humanity,25,4,Positive
993,last episode real time,26,5,Positive
994,actually corresponding realistic image cold,79,13,Positive
997,one see political metaphor,34,6,Positive
998,creative learning notes self lying 210926,41,6,Positive
999,behind,16,3,Positive
1004,written casually,32,5,Positive
1007,want see cousin thank three big mountains work working people,116,23,Positive
1009,personal feels less twothirds,36,5,Positive
1012,preparation bonus many capital planning games money monitor story,112,21,Positive
1013,deep thoughts behind fire film,44,8,Positive
1014,male master,23,4,Positive
1018,storm snow mountain villas,32,5,Positive
1020,911 _ giant tower __ 20 years later ____  _ micro _ transmission,84,16,Positive
1021,adult underlying person gold fingers,60,11,Positive
1022,four unlike games,23,4,Positive
1024,people joined,46,9,Positive
1027,money buy happiness,24,4,Positive
1029,throp storyline sector korean drama increasing,61,10,Positive
1031,watching cant help want say drama careful,82,16,Positive
1032,lack world views,19,4,Positive
1040,variety variety,34,7,Positive
1041,male master yes entirely,43,9,Positive
1042,men real clown literally meaning clown,49,10,Positive
1044,little thoughts top three episodes,41,7,Positive
1045,sun east birds flowers still far falling,68,13,Positive
1047,1 child three symbols summarize,45,8,Positive
1048,recently korean drama also see including part spoiler,77,13,Positive
1050,bug,9,2,Positive
1052,view although drama collaps ok also objective analysis first time write comments,115,19,Positive
1054,rarely quality netflix korean drama,35,5,Positive
1055,please help solve riddle look forward second,69,12,Positive
1057,good always feel cheated,47,10,Positive
1058,spit,4,1,Positive
1060,escape hunger next season guess,43,7,Positive
1061,desire expand drive people participate bloody,76,13,Positive
1062,child change dreams,39,7,Positive
1063,take film perspective 001,40,8,Positive
1064,defeats themes big escape,51,11,Positive
1071,three stars gave actors,23,4,Positive
1073,reflections human nature,27,4,Positive
1074,capitalist earned much money,39,7,Positive
1075,cruel games human nature,38,7,Positive
1077,temperators bodied people evil good people also,69,11,Positive
1078,us times,45,11,Positive
1079,willing call bad,37,9,Positive
1080,talking,26,4,Positive
1081,addition male owners worthy,33,6,Positive
1082,serious spoiler say setting piece shit,82,17,Positive
1084,power benevolent,27,5,Positive
1085,years sealing,19,3,Positive
1086,net flights create explosions unlike breath,49,8,Positive
1087,details containing drama,30,4,Positive
1088,people good falsification real life may good man everyone held,113,23,Positive
1089,drama,7,2,Positive
1090,characters far gambling trilogy story rough,65,11,Positive
1092,see,16,3,Positive
1094,think still,34,8,Positive
1096,taste koreas playing pills like,60,12,Positive
1098,saw huang police officer thought auxiliary police dongcheng dream,82,14,Positive
1100,forehead see see drama,47,11,Positive
1101,personal feeling,21,3,Positive
1103,powders live world lies enjoy pinks brought interest interest play low points evil odor,151,29,Positive
1107,however although,17,2,Positive
1108,,11,2,Positive
1109,story high low look forward finding next season,86,18,Positive
1111,bit depression reading,35,6,Positive
1113,mens confusion humanity __,30,4,Positive
1114,bloody reality,14,2,Positive
1117,details disclose distort,24,3,Positive
1118,everything human nature,36,6,Positive
